Naziv predmeta,Mijesto i godina,Materijal i dimenzija,Inventarni broj,Opis predmeta,Naziv fotografije
Brončana medalja za sudjelovanje na Skandinavsko - balkanskim igrama u Ateni,"Atena, 1957. ","bronca: kovanje; pr. 4,5 cm",GMV 1043/2005,"Brončana medalja za sudjelovanje na Skandinavsko-balkanskim igrama u Ateni 1957. godine koju je primio atletičar Zvonko Bezjak. Bio je bacač kladiva, četverostruki prvak države (1956., 1958., 1960. i 1963.), četiri puta prvak Balkana (1956., 1960., 1961. i 1963.) i pobjednik na Mediteranskim igrama u Napulju 1963.
AV: Reljefni prikaz glave antičkog sportaša s lovorovim vijencem na čelu
RV: Natpis SCANDINAVIAN-BALKAN / GAMES / ATHENS 1957, u pozadini kartografski prikaz Skandinavije i Balkana, ispod lovorova grančica.",21.jpg
Medalja za sudjelovanje na Balkanskim igrama u Sofiji,"Sofija, 1958.","mjed; kovanje; pr. 3,2 cm",GMV 1045/2005,"Medalja za sudjelovanje na Balkanskim igrama u Sofiji 1958. godine koju je primio atletičar Zvonko Bezjak. Bio je bacač kladiva, četverostruki prvak države (1956., 1958., 1960. i 1963.), četiri puta prvak Balkana (1956., 1960., 1961. i 1963.) i pobjednik na Mediteranskim igrama u Napulju 1963.
AV: Reljefni prikaz bacača diska, iznad njega petokraka, a lijevo lovorova grančica./
RV: Natpis XVII ƂАΛĶАHИАDА / 1958 / COФИЯ",22.jpg
Zlatna medalja sa Balkanskih igara u Sofiji,"Sofija, 1963.","pozlaćena legura, kovanje; pr. 5,8 cm",GMV 1041/2005,"Zlatna medalja koju je osvoji Zvonko Bezjak na XXII. Balkanskim igrama u Sofiji 1963. godine. Z. Bezjak bio je bacač kladiva, četverostruki prvak države (1956., 1958., 1960. i 1963.), četiri puta prvak Balkana (1956., 1960., 1961. i 1963.) i pobjednik na Mediteranskim igrama u Napulju 1963.
AV: Reljefni prikaz bacača diska, uokolo lovorov vijenac i natpis XXII ВΑΛКАНϹКИ ИΓРИ / ΛЕКА АТΛΕТИКА / ϹОФИЯ.
RV: Baklja koja gori, uokolo lovorov vijenac s natpisom 13-15 IX.",23.jpg
"Ivan Pavličević i Petar Korica, varaždinski atletičari članovi državne reprezentacije",oko 1965.,"papir: fotografija; 8,5 x 13,5 cm",GMV 106538,"Na fotografiji su varaždinski atletičari Ivan Pavličević i Petar Korica.
Ivan Pavličević (Kelemen, 1945.), atletičar. Srednjoprugaš. Atletikom se počeo baviti u AK Sloboda u drugom razredu Srednje stojarsko-tehničke škole u Varaždinu. Za državnu reprezentaciju nastupio sedam puta. Bio je dvostruki juniorski prvak Jugoslavije 1964., na 1500 m i 1500 m s preprekama. Te je godine bio treći na Europskom omladinskom prvenstvu u Varšavi. Kao član osječke Slavonije sudjelovao na Balkanskim igrama i na II Europskim atletskim igrama.",24.jpg
Marina Flajšman na prvenstvu Jugoslavije u atletici,"Maribor, 6. 8. 1972. ",papir: fotografija; 17 x 17 cm,GMV 106533,"Marina Flajšman Cmrečki (1962.), (1962.), atletičarka, trkačica na kratke pruge, članica AK Sloboda. Atletikom se počela baviti kao učenice I. OŠ Varaždin, studira na FOI. Prvakinja SRH u tri kategorije (1979., seniorska 1981. i 1982.). Najbolje rezultate postizala je u utrci na 100 m. Članica reprezentacije Hrvatske od 1980. do 1989.  Višestruka državna prvakinja 1986. (na 100 metara s rezultatom 11.78, a na 200 metara 24.31). U sastavu reprezentacije Jugoslavije od 1981. Nastupila je na Prvenstvu Balkana 1982. u Bukureštu (šesta), 1983. u Izmiru (prva), 1985. u Staroj Zagori (treća u štafeti 4 x 100 m). Sudjelovala je na MI u Casablanci 1983. Najbolja sportašica Varaždina 1980., 1983., 1986.",25.jpg
Atletičarka Dijana Sokač i trener Dražen Ožeg na juniorskom prvenstvu,"Beograd, 1974.","papir: fotografija; 8,5 x 11 cm",GMV 106532,"Na fotografiji su Dijana Sokač i njen trener Dražen Ožeg. Dijana Sokač Ištvanović (Čakovec, 1957.), atletička, višestruka državna prvakinja, članica AK Sloboda od 1971. do 1978. kada prelazi u AK Crvena zvezda. Nakon završene II. OŠ u Čakovcu i Gimnazije Josip Slavenski završila je studij prava u Zagrebu. Bila je 21 puta državna prvakinja na 60, 100 i 200 metara u juniorskoj i seniorskoj konkurenciji. Na juniorskim i seniorskim Balkanskim igrama osvojila je šesnaest medalja - tri zlatne, dvije srebrne i jedanaest brončanih. Za reprezentaciju Jugoslavije od 1970. do 1990. godine nastupala je u juniorskoj i seniorskoj konkurenciji 122 puta. Birana za najbolju sportašicu Varaždinu od 1972. – 1977. Danas živi u Beogradu.",26.jpg
Željko Knapić na proglašenju pobjednika Balkanijade,"Karlovac, 1975.",papir: fotografija; 13 x 9 cm,GMV  106540,"Željko Knapić, varaždinski atletičar. Višestruki juniorski i seniorski državni prvak u disciplinama 100, 200, 400 m. ",27.jpg
Medalja sa Balkanskih igara 1975.,"Karlovac, 1975.","zlato: kovanje; 7,2 x 4,5 cm",GMV 1021/2005,"Zlatna medalja koju je osvojio varaždinski atletičar Željko Knapić na Balkanskim igrama u Karlovcu za juniore, 1975. godine, na štafetnoj utrci od 4 x 400 m.
AV: Reljefni prikaz atletičara u akciji (bacač kugle), u gorenjm lijevom kutu grb Karlovca, natpisi VI / JUBAI / '75 / KARLOVAC 26-27.VII.
RV: Urezan natpis I. / 4 x 400 M.
",28.jpg
Medalja sa Prvenstva Jugoslavije,"Subotica, 1977.","zlato; kovanje, pr. 5 cm",GMV 1036/2005,"Zlatna medalja koju je osvojila varaždinska atletičarka Dijana Sokač na Prvenstvu Jugoslavije na utrci od 100 m. 
AV: Reljefni prikaz atletičara u položaju starta
RV: Pisano tintom PRV. YU / 100 M / 77",29.jpg
"Pehar za 1. mjesto na 400 m, Balkanske igre, Željko Knapić",1979.,"metal; drveno postolje; 32,7 x 15,9 cm, pr. 9,1 cm",GMV 1184/2005,Pehar koji je osvojio varaždinski atletičar za 1. mjesto na Balkanskim igrama u Ateni 1979. godine. Pehar je od metala s drvenim postoljem na kojem je pločica s natpisom na grčkom AΘΛΟΘETEI / O OPΓANIΣMOΣ THΛΕΠIKOINΩNIΩN THΣ EΛΛΑΔΟΣ / ΓIA TA 30 XPONIA TOY / ΣTOYΣ BAΛKANIKOYΣ AΓΩNEΣ ΣTIBOY ΓYNAIKΩN / AΘHNAI 1979.,30.jpg
Tanjur plaketa 4. Novogodišnje trke,"Varaždin, 1981. ",porculan; pr. 19 cm,GMV 1127/2005,"Komemorativni tanjur za 4. varaždinsku novogodišnju trku održanu 1981. godine. Tanjur je žućkasto-smeđe boje, izrađen od keramike s pričvršćenom plaketom koja prikazuje atletičara-trkača te ima urezanu godinu 1981. Na tanjuru je s gornje strane crveno utsnuto VARAŽDIN 1181 / 1981, a uokolo plakete 4. VARAŽDINSKA NOVOGODIŠNJA TRKA - 1981 - TURISTIČKO DRUŠTVO VARAŽDIN",31.jpg
Mladen Mavar na YASSA maratonu,oko 1984.,"papir: fotografija; 7,7 x 11,6 cm",GMV 106539,"Mladen Mavar jedan od najboljih varaždinskih atletičara, maratonaca. Državni rekorder u trci na 30 km. Kao junior u AK Sloboda počeo trenirati skok u vis, trčanje na srednjim prugama, a od 1971. bavi se dugim prugama. Postignuće su mu dva državna rekorda, dva treća mjesta na državnom maratonu, momčadsko prvo mjesto 1971. u Kumrovcu. Sudjelovao je na maratonima u New Yorku, Münchenu, Parizu, Teheranu, Londonu, Košicama.",32.jpg
Medalje YASSA maratona Varaždin 1984.,"Zagreb, 1984.",zlato: kovanje; bronca: srebro; pr. 5 cm,GMV 1028/2005,"Medalje (brončana, srebrna i zlatna) VII. Međunarodnog Yassa maratona održanog u Varaždinu 22. 3. 1984. godine.
AV: Reljefni prikaz skijaša
RV: Ugraviran natpis YASSA / MARATON '84
",33.jpg
"Vesna Bajer, utrka s preponama",oko 1985.,"papir: fotografija; 22,5 x 11 cm",GMV 106537,"Vesna Bajer varaždinska atletičarka, dugoprigašica, članica reprezentacije od 1982. do 1989. ",34.jpg
Patike Adidas Torison,"Kranj, 1980.",koža: šivanje; br. 40,GMV 95524,Tenisice Adidas Torison proizvođača Planika.,35.jpg
